GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SIGESS,co.sigess.facade.rai,TestigoReporteFacade,7,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.facade.rai,ReporteFacade,674,0,88,0,142,0,53,0,7,0
SIGESS,co.sigess.entities.sec.dto,AnalisisDesviacionDTO,38,0,0,0,15,0,10,0,10,0
SIGESS,co.sigess.exceptions,UserMessageException,31,17,0,0,6,6,6,2,6,2
SIGESS,co.sigess.restful.cop,ActaREST,72,0,0,0,19,0,5,0,5,0
SIGESS,co.sigess.facade.sge,EvaluacionFacade,380,0,28,0,79,0,22,0,8,0
SIGESS,co.sigess.facade.sge,AbstractFacade,118,0,0,0,24,0,8,0,8,0
SIGESS,co.sigess.facade.sge,ElementoFacade,160,0,26,0,38,0,19,0,6,0
SIGESS,co.sigess.facade.sge,RespuestaFacade,219,0,16,0,46,0,14,0,6,0
SIGESS,co.sigess.facade.sge,SistemaGestionFacade,145,0,12,0,36,0,12,0,6,0
SIGESS,co.sigess.facade.sge,OpcionRespuestaFacade,7,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.facade.sge,ReporteSGEFacade,395,0,7,0,49,0,6,0,2,0
SIGESS,co.sigess.facade.core,LoaderFacade,302,0,12,0,68,0,15,0,9,0
SIGESS,co.sigess.facade.core,TipoMail,0,34,0,0,0,4,0,1,0,1
SIGESS,co.sigess.facade.core,Recursos,70,0,0,0,10,0,3,0,3,0
SIGESS,co.sigess.facade.core,SMSFacade,174,0,6,0,39,0,6,0,3,0
SIGESS,co.sigess.facade.core,InfobipSMSStatus,3,0,0,0,1,0,1,0,1,0
SIGESS,co.sigess.facade.core,InfobipSMSMessage,3,0,0,0,1,0,1,0,1,0
SIGESS,co.sigess.facade.core,InfobipSMSResponse,6,0,0,0,2,0,1,0,1,0
SIGESS,co.sigess.facade.core,EmailFacade,140,0,6,0,34,0,8,0,4,0
SIGESS,co.sigess.restful.com,EpsREST,11,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.restful.com,CiiuREST,11,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.restful.com,DepartamentoREST,12,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.restful.com,AfpREST,11,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.restful.com,EnumeracionesREST,15,0,0,0,4,0,4,0,4,0
SIGESS,co.sigess.restful.com,CieREST,12,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.restful.com,CcfREST,11,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.restful.com,CiudadREST,57,0,2,0,13,0,5,0,4,0
SIGESS,co.sigess.restful.com,ArlREST,11,0,0,0,3,0,2,0,2,0
SIGESS,co.sigess.entities.sge,Elemento,140,0,12,0,48,0,33,0,27,0
SIGESS,co.sigess.entities.sge,OpcionRespuesta,121,0,12,0,40,0,26,0,20,0
SIGESS,co.sigess.entities.sge,Evaluacion,207,0,14,0,72,0,51,0,44,0
